
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000
"Year",2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000
"Objective function (2019$)",-4305.3873751821
"Natural Capital Stock (N)",99.9558562188,99.7940100886,99.6668440768,99.5480850707,99.4280199823,99.3044514874,99.1779314131,99.0487282182,98.9179390683,98.7875042774,98.6599105410,98.5381448315,98.4257221914,98.3267417949,98.2459641069,98.1889195396,98.1620771782,98.1818146911,98.2156205099,98.2474327689,98.3114478978,98.3871342252,98.4620036392,98.5341735163,98.6042301319,98.6731336709,98.7417524597,98.8108027472,98.8808656632,98.9523605214,99.0256057945,99.1008377458,99.1782139177,99.2578094703,99.3396084274,99.4234897967,99.5092075106,99.5501878915,99.5837657802,99.6194158201,99.6582685182,99.6999895161,99.7441463812,99.7903807836,99.8383782368,99.8878301241,99.9384110049,99.9897663232,100.0415053666,100.0931969231,100.1443667482,100.1944967358,100.2430259633,100.2893537621,100.3328446797,100.3728346914,100.4086374723,100.3965415621,100.3802898049,100.3667754357,100.3569033640
"Industrial CO2 GtCO2/yr",37.3362001005,36.6380792246,35.4614345196,36.2125864152,36.8202401006,37.1572553341,37.1120618406,37.1197667460,36.7395867036,35.9000084702,34.5212364036,32.5120904262,29.7670788191,26.1628480664,21.5527460867,15.7571282820,8.5449098722,0.3495359035,0.0000000000,0.0000000000,-11.4566889001,-12.1175939611,-12.8339966371,-13.6062265050,-14.4359353624,-15.3257820638,-16.2791642152,-17.3000225831,-18.3910485172,-19.5388134261,-20.7454123509,-22.0126824206,-23.3419721601,-24.7337691281,-26.1870876372,-27.6984494911,-29.2601647575,-15.4286911685,-16.3406603229,-17.2508300436,-18.1691266996,-19.1027562280,-20.0569969786,-21.0357653390,-22.0420096304,-23.0779842384,-24.1454413713,-25.2457658299,-26.3800699450,-27.5492604205,-28.7540852300,-29.9951662987,-31.2730220477,-32.5880827311,-33.9407006863,-35.3311570314,-36.7596659075,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"Atmospheric concentration C (ppm)",416.2031931455,429.1696653367,441.2259754898,453.5891940951,466.1068280607,478.6591651977,491.0829380532,503.4692344729,515.6279292082,527.3496167476,538.3875439383,548.4487202972,557.1859249824,564.1888201765,568.9730744128,570.9655385987,569.4814107135,564.1121511403,559.6230173836,555.8026188848,545.7267094978,536.4306543981,527.5084733609,518.7356615477,509.9815099649,501.1643749403,492.2283614980,483.1311711562,473.8388029095,464.3317862489,454.5932259478,444.6088293359,434.3672486649,423.8607266595,413.0861172001,402.0464448999,390.7532995218,387.9545984677,383.6431857838,378.6006834783,373.1174201417,367.3026337897,361.2011961693,354.8358658090,348.2222497323,341.3740878780,334.3052028663,327.0303224728,319.5655118979,311.9284439096,304.1385597928,296.2171105800,288.1870435963,280.0726978423,271.8993019297,263.6923510202,255.4770927987,265.4622761069,271.0404853738,274.9185790614,277.7237203530
"Atmospheric concentrations GtC",886.5128014000,914.1313871672,939.8113277933,966.1449834226,992.8075437692,1019.5440218711,1046.0066580534,1072.3894694272,1098.2874892135,1123.2546836725,1146.7654685885,1168.1957742330,1186.8060202125,1201.7221869760,1211.9126484994,1216.1565972152,1212.9954048199,1201.5588819288,1191.9970270271,1183.8595782247,1162.3978912303,1142.5972938680,1123.5930482587,1104.9069590967,1086.2606162252,1067.4801186229,1048.4464099907,1029.0693945628,1009.2766501972,989.0267047102,968.2835712688,947.0168064854,925.2022396563,902.8233477848,879.8734296361,856.3589276367,832.3045279815,826.3432947363,817.1599857196,806.4194558088,794.7401049019,782.3546099721,769.3585478406,755.8003941731,741.7133919299,727.1268071801,712.0700821051,696.5745868670,680.6745403425,664.4075855274,647.8151323586,630.9424455354,613.8384028600,596.5548464041,579.1455131102,561.6647076731,544.1662076612,565.4346481077,577.3162338463,585.5765734007,591.5515243520
"Atmospheric temperaturer (deg c above preind) ",1.2471500000,1.4217164487,1.5454457608,1.6529076579,1.7551123708,1.8546639101,1.9515759075,2.0460483937,2.1376669911,2.2255108639,2.3084213795,2.3850487398,2.4538337381,2.5129613993,2.5602892465,2.5932373624,2.6086102302,2.5973144099,2.5778629313,2.5594358766,2.5219842891,2.4770386128,2.4318307478,2.3875096166,2.3437485296,2.2999579882,2.2555661673,2.2100594044,2.1629739518,2.1139163519,2.0625240987,2.0084515291,1.9513646072,1.8909399684,1.8268674546,1.7588570813,1.6866528207,1.6510635385,1.6213432177,1.5892031673,1.5534457613,1.5141407950,1.4714351190,1.4253920155,1.3760116476,1.3232614655,1.2670946354,1.2074600234,1.1443081658,1.0775956066,1.0072885468,0.9333659882,0.8558221396,0.7746676405,0.6899291856,0.6016476267,0.5098759108,0.5426122072,0.5837236972,0.6158332681,0.6382738677
"Total forcings w/m2",2.7918384643,3.0040781521,3.1951244226,3.3797914774,3.5610195266,3.7369517529,3.9053490608,4.0669735518,4.2204693538,4.3634706342,4.4933615473,4.6071785582,4.7015145194,4.7723953607,4.8151045580,4.8239132346,4.7916346439,4.6931963971,4.5961262322,4.5121790046,4.3696123971,4.2239573378,4.0873249154,3.9564766919,3.8291851220,3.7037902305,3.5789561285,3.4535348316,3.3264998491,3.1970156910,3.0642922691,2.9275758102,2.7861446587,2.6393103718,2.4864258660,2.3269041864,2.1602543692,2.1150991132,2.0553495449,1.9834437275,1.9034059675,1.8166561510,1.7236668733,1.6245684934,1.5193664996,1.4080202066,1.2904734241,1.1666691304,1.0365590794,0.9001118237,0.7573199651,0.6082063444,0.4528282950,0.2912788026,0.1236837180,-0.0498042965,-0.2290108347,-0.0114207347,0.1140675125,0.2011453591,0.2643250650
"Forcings, exogenous w/m2",-0.0540000000,-0.0340625000,-0.0141250000,0.0058125000,0.0257500000,0.0456875000,0.0656250000,0.0855625000,0.1055000000,0.1254375000,0.1453750000,0.1653125000,0.1852500000,0.2051875000,0.2251250000,0.2450625000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000
